short_subject,short_ssd,short_nstoptrials,short_n_matched_go,short_mean_violation,short_mean_stopFailureRT,short_mean_precedingGoRT,short_condition,intermediate_subject,intermediate_ssd,intermediate_nstoptrials,intermediate_n_matched_go,intermediate_mean_violation,intermediate_mean_stopFailureRT,intermediate_mean_precedingGoRT,intermediate_condition,long_subject,long_ssd,long_nstoptrials,long_n_matched_go,long_mean_violation,long_mean_stopFailureRT,long_mean_precedingGoRT,long_condition
16,25.0,11.5,6.0,-14.2,250.75714285714287,264.95714285714286,300,16,75.0,22.25,8.25,0.25454545454545485,351.9670454545454,351.71250000000003,500,16,100.0,19.0,5.666666666666667,-20.6,461.09999999999997,481.7,700
17,75.0,20.75,8.25,0.9025974025974026,395.5219155844156,394.61931818181824,300,17,75.0,18.0,6.25,30.5,451.45000000000005,420.95000000000005,500,17,125.0,24.5,10.5,3.60576923076923,452.2692307692308,448.66346153846155,700
18,75.0,25.0,11.0,-6.039262820512819,337.97035256410254,344.00961538461536,300,18,100.0,29.666666666666668,11.0,-14.545454545454545,373.6884135472371,388.2338680926916,500,18,125.0,24.0,5.0,-87.47619047619048,352.3095238095238,439.7857142857143,700
20,75.0,17.0,8.75,-6.61388888888889,338.18333333333334,344.7972222222222,300,20,75.0,22.25,8.25,-14.323529411764707,391.64485294117645,405.96838235294115,500,20,83.33333333333333,18.333333333333332,7.0,37.205555555555556,420.46111111111105,383.25555555555553,700
21,75.0,26.5,11.0,-27.29166666666667,327.8020833333333,355.09375,300,21,125.0,37.5,13.0,-30.743055555555557,369.50694444444446,400.25,500,21,150.0,39.0,10.0,-33.2,372.1,405.3,700
23,66.66666666666667,9.666666666666666,5.0,34.18412698412698,344.5047619047619,310.32063492063486,300,23,100.0,29.666666666666668,12.333333333333334,15.066666666666668,404.256038647343,389.1893719806763,500,23,100.0,20.333333333333332,8.0,38.986111111111114,433.2083333333333,394.22222222222223,700
24,50.0,12.0,5.0,-0.9555555555555557,283.7,284.65555555555557,300,24,75.0,21.25,8.75,25.29193722943723,361.65043290043286,336.35849567099564,500,24,100.0,25.333333333333332,7.666666666666667,30.380952380952383,412.5714285714286,382.1904761904762,700
25,75.0,7.25,4.0,-53.90833333333333,327.375,381.2833333333333,300,25,75.0,17.5,8.25,1.8972222222222221,403.5,401.60277777777776,500,25,66.66666666666667,12.0,4.333333333333333,13.055555555555555,450.3148148148148,437.2592592592593,700
28,75.0,21.0,9.75,-18.140530303030303,316.5776515151515,334.71818181818185,300,28,75.0,19.5,7.25,13.760416666666664,403.8833333333333,390.1229166666667,500,28,83.33333333333333,16.0,5.333333333333333,-24.233333333333334,398.1166666666666,422.34999999999997,700
30,75.0,18.25,7.25,-35.64781746031746,293.3204365079365,328.968253968254,300,30,100.0,32.333333333333336,11.333333333333334,-38.53333333333333,333.1611111111111,371.6944444444444,500,30,125.0,34.0,9.0,-45.80357142857143,341.8392857142857,387.6428571428571,700
