ssd,subject,violation,study
500.0,1009,-10.026315789473683,FixedSSDs2
0.0,1010,43.0,FixedSSDs2
50.0,1010,58.85714285714285,FixedSSDs2
100.0,1010,-2.1538461538461537,FixedSSDs2
150.0,1010,-5.454545454545454,FixedSSDs2
200.0,1010,39.807692307692314,FixedSSDs2
250.0,1010,-25.896551724137932,FixedSSDs2
300.0,1010,16.378378378378383,FixedSSDs2
350.0,1010,-12.36842105263158,FixedSSDs2
400.0,1010,-26.0,FixedSSDs2
450.0,1010,-3.6571428571428566,FixedSSDs2
500.0,1010,-25.055555555555557,FixedSSDs2
0.0,1011,-14.7,FixedSSDs2
50.0,1011,22.73333333333333,FixedSSDs2
100.0,1011,-24.181818181818183,FixedSSDs2
150.0,1011,-46.33333333333334,FixedSSDs2
200.0,1011,11.842105263157894,FixedSSDs2
250.0,1011,-48.5,FixedSSDs2
300.0,1011,-5.285714285714286,FixedSSDs2
350.0,1011,-32.51851851851852,FixedSSDs2
400.0,1011,-18.87878787878788,FixedSSDs2
450.0,1011,-5.71875,FixedSSDs2
500.0,1011,18.34375,FixedSSDs2
0.0,1012,0.5555555555555556,FixedSSDs2
50.0,1012,119.71428571428572,FixedSSDs2
100.0,1012,19.142857142857142,FixedSSDs2
150.0,1012,0.0,FixedSSDs2
200.0,1012,10.088235294117649,FixedSSDs2
250.0,1012,-26.942857142857147,FixedSSDs2
300.0,1012,22.128205128205128,FixedSSDs2
350.0,1012,-16.735294117647058,FixedSSDs2
400.0,1012,-21.33333333333333,FixedSSDs2
450.0,1012,-8.119047619047619,FixedSSDs2
500.0,1012,-3.1621621621621623,FixedSSDs2
0.0,1013,39.5,FixedSSDs2
50.0,1013,-48.0,FixedSSDs2
100.0,1013,23.66666666666667,FixedSSDs2
150.0,1013,27.75,FixedSSDs2
200.0,1013,-15.416666666666664,FixedSSDs2
250.0,1013,-9.794117647058824,FixedSSDs2
300.0,1013,3.033333333333333,FixedSSDs2
350.0,1013,3.7777777777777777,FixedSSDs2
400.0,1013,14.025641025641027,FixedSSDs2
450.0,1013,-0.5428571428571428,FixedSSDs2
500.0,1013,-82.62857142857143,FixedSSDs2
0.0,1014,34.666666666666664,FixedSSDs2
50.0,1014,98.66666666666669,FixedSSDs2
100.0,1014,-43.6,FixedSSDs2
150.0,1014,-16.083333333333332,FixedSSDs2
200.0,1014,-28.53333333333333,FixedSSDs2
250.0,1014,-28.04761904761905,FixedSSDs2
300.0,1014,-25.214285714285715,FixedSSDs2
350.0,1014,19.90322580645161,FixedSSDs2
400.0,1014,-23.75757575757576,FixedSSDs2
450.0,1014,-1.2647058823529411,FixedSSDs2
500.0,1014,-1.0810810810810811,FixedSSDs2
0.0,1015,-43.0,FixedSSDs2
50.0,1015,-57.58333333333334,FixedSSDs2
100.0,1015,103.72727272727272,FixedSSDs2
150.0,1015,-8.285714285714286,FixedSSDs2
200.0,1015,-39.333333333333336,FixedSSDs2
250.0,1015,-14.833333333333336,FixedSSDs2
300.0,1015,28.38888888888889,FixedSSDs2
350.0,1015,-125.1875,FixedSSDs2
400.0,1015,-89.5,FixedSSDs2
450.0,1015,-24.117647058823533,FixedSSDs2
500.0,1015,-24.36666666666667,FixedSSDs2
0.0,1016,33.13636363636363,FixedSSDs2
50.0,1016,11.423076923076925,FixedSSDs2
100.0,1016,49.407407407407405,FixedSSDs2
150.0,1016,2.161290322580645,FixedSSDs2
200.0,1016,-1.1875,FixedSSDs2
250.0,1016,-5.225806451612904,FixedSSDs2
300.0,1016,2.7894736842105257,FixedSSDs2
350.0,1016,-15.567567567567568,FixedSSDs2
400.0,1016,-17.714285714285715,FixedSSDs2
450.0,1016,12.317073170731707,FixedSSDs2
500.0,1016,23.324324324324326,FixedSSDs2
0.0,1017,-24.5,FixedSSDs2
50.0,1017,-13.333333333333336,FixedSSDs2
100.0,1017,21.777777777777782,FixedSSDs2
150.0,1017,4.8125,FixedSSDs2
200.0,1017,-1.375,FixedSSDs2
250.0,1017,-23.24137931034483,FixedSSDs2
300.0,1017,-14.685714285714285,FixedSSDs2
350.0,1017,-18.815789473684212,FixedSSDs2
400.0,1017,0.5789473684210527,FixedSSDs2
450.0,1017,7.741935483870968,FixedSSDs2
500.0,1017,-2.676470588235294,FixedSSDs2
0.0,1018,53.0,FixedSSDs2
50.0,1018,34.857142857142854,FixedSSDs2
100.0,1018,-6.916666666666668,FixedSSDs2
150.0,1018,22.157894736842106,FixedSSDs2
200.0,1018,-27.17857142857143,FixedSSDs2
250.0,1018,-5.068965517241379,FixedSSDs2
300.0,1018,-10.837837837837839,FixedSSDs2
350.0,1018,-7.78125,FixedSSDs2
400.0,1018,-18.90909090909091,FixedSSDs2
450.0,1018,-49.94736842105264,FixedSSDs2
500.0,1018,-14.384615384615385,FixedSSDs2
0.0,1019,60.5,FixedSSDs2
50.0,1019,59.615384615384606,FixedSSDs2
100.0,1019,-38.333333333333336,FixedSSDs2
150.0,1019,19.875,FixedSSDs2
200.0,1019,-12.666666666666664,FixedSSDs2
250.0,1019,9.71875,FixedSSDs2
300.0,1019,18.558823529411768,FixedSSDs2
350.0,1019,-21.297297297297302,FixedSSDs2
400.0,1019,3.302325581395349,FixedSSDs2
450.0,1019,-10.368421052631579,FixedSSDs2
500.0,1019,-1.1724137931034482,FixedSSDs2
0.0,1020,148.5,FixedSSDs2
50.0,1020,35.75,FixedSSDs2
100.0,1020,36.8,FixedSSDs2
150.0,1020,7.833333333333332,FixedSSDs2
200.0,1020,-64.16666666666667,FixedSSDs2
